//arm station octant half gap plane channel
0 2 2 0 1 0 53
0 2 2 0 1 0 54
0 2 2 0 1 0 55
0 2 2 0 1 0 57
0 2 2 0 1 0 58
0 2 2 0 1 0 61
0 2 2 0 1 0 63
0 2 2 0 1 2 112
0 2 2 0 1 2 114
0 2 2 0 1 2 115
0 2 2 0 1 2 116
0 2 2 0 1 2 117
0 2 2 0 1 2 118
0 2 2 0 1 2 2
0 2 2 0 1 2 3
0 2 2 0 1 2 48
0 2 2 0 1 2 49
0 2 2 0 1 2 51
0 2 2 0 1 2 53
0 2 2 0 1 2 54
0 2 2 0 1 2 55
0 2 2 1 0 0 1
0 2 2 1 0 0 10
0 2 2 1 0 0 11
0 2 2 1 0 0 12
0 2 2 1 0 0 13
0 2 2 1 0 0 2
0 2 2 1 0 0 21
0 2 2 1 0 0 22
0 2 2 1 0 0 3
0 2 2 1 0 0 31
0 2 2 1 0 0 36
0 2 2 1 0 0 37
0 2 2 1 0 0 4
0 2 2 1 0 0 5
0 2 2 1 0 0 6
0 2 2 1 0 0 7
0 2 2 1 0 0 8
0 2 2 1 0 2 10
0 2 2 1 0 2 103
0 2 2 1 0 2 104
0 2 2 1 0 2 105
0 2 2 1 0 2 115
0 2 2 1 0 2 116
0 2 2 1 0 2 117
0 2 2 1 0 2 118
0 2 2 1 0 2 2
0 2 2 1 0 2 5
0 2 2 1 0 2 6
0 2 2 1 0 2 7
0 2 2 1 0 2 9
0 2 2 1 1 0 10
0 2 2 1 1 0 11
0 2 2 1 1 0 2
0 2 2 1 1 0 3
0 2 2 1 1 0 4
0 2 2 1 1 0 5
0 2 2 1 1 0 6
0 2 2 1 1 0 7
0 2 2 1 1 0 8
0 2 2 1 1 0 9
0 2 2 1 1 2 117
0 2 2 1 1 2 118
0 2 2 1 1 2 5
0 2 2 1 1 2 6
0 2 3 0 0 0 118
0 2 3 0 0 2 1
0 2 3 0 0 2 2
0 2 3 0 0 2 3
0 2 3 0 0 2 4
0 2 3 0 0 2 5
0 2 3 0 0 2 6
0 2 3 0 1 2 2
0 2 3 0 1 2 3
0 2 3 0 1 2 4
0 2 3 0 1 2 5
0 2 3 1 0 2 118
0 2 3 1 1 0 4
0 2 3 1 1 2 118
0 2 4 0 0 0 115
0 2 4 0 0 0 116
0 2 4 0 0 0 117
0 2 4 0 0 2 1
0 2 4 0 0 2 116
0 2 4 0 0 2 117
0 2 4 0 0 2 118
0 2 4 0 0 2 3
0 2 4 0 1 0 115
0 2 4 0 1 0 116
0 2 4 0 1 0 117
0 2 4 0 1 0 118
0 2 4 0 1 2 1
0 2 4 0 1 2 116
0 2 4 0 1 2 117
0 2 4 0 1 2 118
0 2 4 0 1 2 2
0 2 4 1 0 0 1
0 2 4 1 0 0 2
0 2 4 1 0 2 2
0 2 4 1 1 0 1
0 2 4 1 1 2 2
0 2 5 0 0 0 117
0 2 5 0 0 0 118
0 2 5 0 0 2 1
0 2 5 0 0 2 117
0 2 5 0 0 2 2
0 2 5 0 0 2 5
0 2 5 0 0 2 6
0 2 5 0 0 2 8
0 2 5 0 1 0 108
0 2 5 0 1 2 113
0 2 5 0 1 2 6
0 2 5 0 1 2 7
0 2 5 1 0 0 8
0 2 5 1 0 2 116
0 2 5 1 0 2 117
0 2 5 1 0 2 118
0 2 5 1 0 2 2
0 2 5 1 1 2 113
0 2 5 1 1 2 114
0 2 6 0 0 0 110
0 2 6 0 0 0 113
0 2 6 0 0 0 114
0 2 6 0 0 0 115
0 2 6 0 0 0 116
0 2 6 0 0 0 117
0 2 6 0 0 2 1
0 2 6 0 0 2 116
0 2 6 0 0 2 117
0 2 6 0 0 2 2
0 2 6 0 0 2 3
0 2 6 0 0 2 4
0 2 6 0 0 2 5
0 2 6 0 0 2 6
0 2 6 0 1 0 114
0 2 6 0 1 0 115
0 2 6 0 1 0 118
0 2 6 0 1 2 118
0 2 6 0 1 2 2
0 2 6 0 1 2 3
0 2 6 0 1 2 4
0 2 6 1 0 0 1
0 2 6 1 0 0 14
0 2 6 1 0 0 4
0 2 6 1 0 0 5
0 2 6 1 0 0 6
0 2 6 1 0 0 7
0 2 6 1 0 0 8
0 2 6 1 0 2 115
0 2 6 1 0 2 2
0 2 6 1 0 2 3
0 2 6 1 0 2 4
0 2 6 1 0 2 5
0 2 6 1 1 0 13
0 2 6 1 1 0 14
0 2 6 1 1 0 2
0 2 6 1 1 0 3
0 2 6 1 1 0 4
0 2 6 1 1 0 5
0 2 6 1 1 0 6
0 2 6 1 1 0 7
0 2 6 1 1 0 8
0 2 6 1 1 2 115
0 2 6 1 1 2 116
0 2 6 1 1 2 117
0 2 6 1 1 2 118
0 2 6 1 1 2 2
0 2 6 1 1 2 3
0 2 6 1 1 2 4
0 2 6 1 1 2 5
0 2 7 0 0 2 2
0 2 7 0 0 2 3
0 2 7 0 0 2 4
0 2 7 0 1 2 1
0 2 7 0 1 2 2
0 2 7 0 1 2 3
0 2 7 0 1 2 6
0 2 7 1 0 0 1
0 2 7 1 0 2 117
0 2 7 1 0 2 2
0 2 7 1 1 2 116
0 2 7 1 1 2 117
0 2 7 1 1 2 2
1 0 0 1 1 2 45
1 0 0 1 1 2 48
1 0 2 0 1 0 43
1 0 2 0 2 0 44
1 0 5 0 1 2 8
1 0 5 0 2 0 6
1 0 5 0 2 0 7
1 0 6 1 0 2 49
1 0 6 1 1 0 48
1 0 6 1 1 2 49
1 0 6 1 2 0 48
1 0 6 1 2 2 49
